1,0.57534,0.45652,0.9816,0.77778,37,-8624.71,28.351,33,15,12,25,6,320,-1
2,0.66667,0.53061,0.9908,0.89655,29,-8506.217,27.3,32,23,6,23,3,323,-1
3,0.62162,0.48936,0.98773,0.85185,33,-8716.299,27.919,32,18,10,24,4,322,-1
4,0.63158,0.5,0.98773,0.85714,32,-8611.108,29.267,32,20,8,24,4,322,-1
5,0.61842,0.49474,0.98466,0.82456,33.5,-8713.477,28.66,33,19,9,24,5,321,-1
6,0.58442,0.46392,0.9816,0.78947,35.5,-8800.683,26.276,32,19,7,26,6,320,-1
7,0.58333,0.44681,0.98773,0.84,35,-8597.349,25.89,30,16,10,26,4,322,-1
8,0.62667,0.49474,0.98773,0.85455,32.5,-8636.826,27.528,32,19,9,24,4,322,-1
9,0.65789,0.52083,0.9908,0.89286,30,-8640.382,27.825,32,21,8,23,3,323,-1
10,0.64865,0.51064,0.9908,0.88889,31,-8499.615,26.721,32,19,10,23,3,323,-1
Avg,0.62146,0.49082,0.98712,0.84737,32.85,-8634.667,27.574,32,       NaN,,,,,
Std,0.03033,0.02614,0.0033,0.03892,2.377,87.897,1.008,0.775,       NaN,,,,,
