1,0.61321,0.52846,0.99216,0.73034,45.5,-28590.39,679.27, NaN,24,12,30,4,1526,-1
2,0.61468,0.54472,0.99085,0.70526,46.5,-28395.607,686.302, NaN,21,12,33,8,1522,-1
3,0.60909,0.55372,0.98954,0.67677,48.5,-28502.643,687.124, NaN,23,12,31,5,1525,-1
4,0.625,0.56452,0.9902,0.7,46,-28497.06,695.169, NaN,21,14,31,5,1525,-1
5,0.56481,0.50413,0.98889,0.64211,52.5,-28319.114,690.061, NaN,23,11,32,7,1523,-1
6,0.57547,0.53043,0.98824,0.62887,53.5,-28325.673,757.158, NaN,22,14,30,6,1524,-1
7,0.60377,0.54237,0.9902,0.68085,49,-28496.471,690.393, NaN,21,13,32,7,1523,-1
8,0.61818,0.55738,0.9902,0.69388,47,-28373.516,683.183, NaN,20,14,32,6,1524,-1
9,0.53704,0.47541,0.98824,0.61702,55,-28475.363,702.272, NaN,23,14,29,4,1526,-1
10,0.59459,0.55,0.98824,0.64706,51,-28368.755,762.023, NaN,23,13,30,6,1524,-1
Avg,0.59559,0.53511,0.98967,0.67221,49.45,-28434.459,703.295,    NaN,       NaN,,,,,
Std,0.02661,0.02581,0.00123,0.03503,3.197,85.487,28.794,    NaN,       NaN,,,,,
