1,0.72727,0.66667,0.96429,0.8,5,-1233.024,2.425,7,2,4,2,1,27,-1
2,0.71429,0.71429,0.92857,0.71429,5,-1191.605,1.167,8,4,2,2,2,26,-1
3,0.6875,0.73333,0.89286,0.64706,5.5,-1181.849,1.061,9,5,1,2,3,25,-1
4,0.54545,0.6,0.89286,0.5,8,-1230.848,1.058,9,0,6,2,3,25,-1
5,0.78571,0.84615,0.92857,0.73333,4.5,-1178.062,1.178,9,4,3,1,2,26,-1
6,0.72727,0.66667,0.96429,0.8,5,-1176.288,1.044,7,2,4,2,1,27,-1
7,0.8125,0.86667,0.92857,0.76471,3.5,-1135.272,2.543,9,6,1,1,2,26,-1
8,0.81818,0.81818,0.96429,0.81818,4.5,-1178.283,1.957,8,2,5,1,1,27,-1
9,0.86667,0.86667,0.96429,0.86667,2.5,-1193.242,1.312,8,6,1,1,1,27,-1
10,0.86667,0.86667,0.96429,0.86667,2.5,-1110.352,1.05,8,6,1,1,1,27,-1
Avg,0.75515,0.76453,0.93929,0.75109,4.6,-1180.883,1.479,8.2,        NaN,,,,,
Std,0.09211,0.09516,0.02789,0.1057,1.513,35.461,0.565,0.748,        NaN,,,,,
