1,0.67021,0.5339,0.99704,0.9,67,-97038.092,279.870 ,129,58,10,55,7,2355,-1
2,0.64641,0.51092,0.99661,0.8797,72.5,-97196.613,290.722 ,108,50,17,56,8,2354,-1
3,0.63441,0.50427,0.99577,0.85507,74,-96725.645,314.053 ,124,53,12,58,10,2352,-1
4,0.64865,0.51282,0.99661,0.88235,71,-97110.47,294.307 ,115,54,12,57,8,2354,-1
5,0.62295,0.49138,0.99577,0.85075,76,-97080.467,320.296 ,131,50,14,59,10,2352,-1
6,0.6383,0.51282,0.99534,0.84507,74,-97270.188,270.930 ,109,54,12,57,11,2351,-1
7,0.65969,0.52941,0.99619,0.875,69,-97189.265,291.146 ,116,59,8,56,9,2353,-1
8,0.65263,0.52542,0.99577,0.86111,71,-96887.708,260.621 ,122,57,10,56,10,2352,-1
9,0.65775,0.5279,0.99619,0.87234,70.5,-97098.567,305.510 ,118,55,13,55,9,2353,-1
10,0.66489,0.53191,0.99661,0.88652,68.5,-96714.731,274.390 ,129,57,11,55,8,2354,-1
Avg,0.64959,0.51808,0.99619,0.87079,71.35,-97031.175,290.185 ,120.1,        NaN,,,,,
Std,0.01384,0.01315,0.0005,0.01655,2.656,183.539,19.236 ,7.829,        NaN,,,,,
