1,0.5082,0.59615,0.97228,0.44286,128,-11423.248,287.120 ,148,54,16,42,78,2736,-1
2,0.47391,0.52657,0.97441,0.43083,129.5,-10932.492,291.785 ,135,46,17,49,72,2742,-1
3,0.46721,0.54808,0.9705,0.40714,138,-11676.561,310.271 ,148,49,16,47,83,2731,-1
4,0.4958,0.56731,0.97335,0.4403,128,-11689.588,385.456 ,142,51,16,45,75,2739,-1
5,0.51282,0.57143,0.97548,0.46512,121,-10976.699,379.683 ,136,53,14,45,69,2745,-1
6,0.5121,0.61353,0.97122,0.43945,129.5,-10978.354,385.093 ,153,55,17,40,81,2733,-1
7,0.49393,0.58095,0.97122,0.42958,132,-11180.891,300.476 ,149,54,14,44,81,2733,-1
8,0.46903,0.51456,0.97512,0.43089,129,-11404.261,314.438 ,132,44,18,50,70,2744,-1
9,0.50847,0.58252,0.97406,0.45113,125,-11438.79,313.901 ,142,51,18,43,73,2741,-1
10,0.51626,0.6019,0.97264,0.45196,125.5,-11180.795,320.925 ,147,57,13,42,77,2737,-1
Avg,0.49577,0.5703,0.97303,0.43892,128.55,-11288.168,328.915 ,143.2,        NaN,,,,,
Std,0.01818,0.03053,0.00165,0.015,4.275,266.259,39.031 ,6.615,        NaN,,,,,
