网络名,数据集大小,F1均值(标准差)
Asia,500,0.9018(0.0614)
Asia,1000,0.9105(0.0591)
Asia,3000,0.9319(0.0731)
INS,500,0.5191(0.0322)
INS,1000,0.5740(0.0493)
INS,3000,0.6358(0.0284)
Water,500,0.4101(0.0184)
Water,1000,0.4475(0.0256)
Water,3000,0.4719(0.0234)
Alarm,500,0.7385(0.0246)
Alarm,1000,0.7583(0.0223)
Alarm,3000,0.7741(0.0286)
Hailfinder,500,0.5569(0.0471)
Hailfinder,1000,0.6053(0.0485)
Hailfinder,3000,0.6043(0.0360)
HEPAR,500,0.4083(0.0282)
HEPAR,1000,0.4865(0.0306)
HEPAR,3000,0.5984(0.0183)
Win95pts,500,0.5313(0.0249)
Win95pts,1000,0.5573(0.0419)
Win95pts,3000,0.5595(0.0355)
AND,500,0.5091(0.0196)
AND,1000,0.5366(0.0147)
AND,3000,0.5989(0.0123)
