网络名,数据集大小,SHD均值(标准差)
Asia,500,1.80(0.98)
Asia,1000,1.65(0.74)
Asia,3000,1.40(1.11)
INS,500,35.95(1.49)
INS,1000,33.10(3.80)
INS,3000,30.20(2.05)
Water,500,49.70(1.15)
Water,1000,47.70(1.57)
Water,3000,46.75(1.71)
Alarm,500,22.20(1.94)
Alarm,1000,21.60(2.83)
Alarm,3000,21.90(3.50)
Hailfinder,500,47.95(4.63)
Hailfinder,1000,44.30(4.74)
Hailfinder,3000,46.80(3.80)
HEPAR,500,97.10(3.55)
HEPAR,1000,87.95(3.95)
HEPAR,3000,74.20(2.38)
Win95pts,500,87.10(4.31)
Win95pts,1000,87.85(8.62)
Win95pts,3000,96.20(9.92)
AND,500,303.85(11.51)
AND,1000,316.25(15.74)
AND,3000,281.80(12.55)
