网络名,数据集大小,F1均值(标准差)
Asia,500,0.9039(0.0571)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9509(0.0322)
INS,500,0.6921(0.0422)
INS,1000,0.7723(0.0213)
INS,3000,0.8640(0.0215)
Water,500,0.4483(0.0127)
Water,1000,0.4611(0.0159)
Water,3000,0.5400(0.0203)
Alarm,500,0.8091(0.0327)
Alarm,1000,0.8480(0.0449)
Alarm,3000,0.9092(0.0277)
Hailfinder,500,0.5961(0.0316)
Hailfinder,1000,0.6517(0.0399)
Hailfinder,3000,0.7069(0.0301)
HEPAR,500,0.4594(0.0332)
HEPAR,1000,0.5505(0.0134)
HEPAR,3000,0.6785(0.0086)
Win95pts,500,0.6017(0.0459)
Win95pts,1000,0.6503(0.0238)
Win95pts,3000,0.6692(0.0413)
AND,500,0.5551(0.0230)
AND,1000,0.5896(0.0134)
AND,3000,0.6309(0.0190)
