网络名,数据集大小,SHD均值(标准差)
Asia,500,1.70(0.87)
Asia,1000,1.60(0.77)
Asia,3000,1.15(0.45)
INS,500,26.45(3.39)
INS,1000,20.85(1.94)
INS,3000,13.95(1.96)
Water,500,47.85(0.81)
Water,1000,47.35(1.27)
Water,3000,42.75(1.71)
Alarm,500,18.20(2.76)
Alarm,1000,15.45(3.90)
Alarm,3000,10.70(3.02)
Hailfinder,500,46.50(3.67)
Hailfinder,1000,42.00(4.49)
Hailfinder,3000,36.75(3.80)
HEPAR,500,93.65(3.92)
HEPAR,1000,80.50(2.37)
HEPAR,3000,63.45(1.72)
Win95pts,500,79.60(8.95)
Win95pts,1000,73.70(4.76)
Win95pts,3000,75.45(9.39)
AND,500,284.15(15.24)
AND,1000,274.85(14.93)
AND,3000,265.25(12.41)
