网络名,数据集大小,F1均值(标准差)
Asia,500,0.9022(0.0617)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9509(0.0322)
INS,500,0.6286(0.0365)
INS,1000,0.6819(0.0451)
INS,3000,0.7771(0.0464)
Water,500,0.4234(0.0145)
Water,1000,0.4478(0.0163)
Water,3000,0.5258(0.0124)
Alarm,500,0.7812(0.0471)
Alarm,1000,0.8130(0.0330)
Alarm,3000,0.8677(0.0359)
Hailfinder,500,0.5867(0.0387)
Hailfinder,1000,0.6234(0.0634)
Hailfinder,3000,0.6544(0.0405)
HEPAR,500,0.4422(0.0185)
HEPAR,1000,0.5328(0.0242)
HEPAR,3000,0.6782(0.0147)
Win95pts,500,0.5737(0.0421)
Win95pts,1000,0.6531(0.0350)
Win95pts,3000,0.6800(0.0315)
AND,500,0.5586(0.0149)
AND,1000,0.6065(0.0132)
AND,3000,0.6638(0.0237)
