网络名,数据集大小,SHD均值(标准差)
Asia,500,1.75(1.01)
Asia,1000,1.60(0.77)
Asia,3000,1.15(0.45)
INS,500,32.30(2.51)
INS,1000,29.55(4.37)
INS,3000,23.60(4.54)
Water,500,49.70(0.93)
Water,1000,48.30(1.25)
Water,3000,44.20(0.87)
Alarm,500,22.35(3.88)
Alarm,1000,22.05(3.27)
Alarm,3000,18.15(3.83)
Hailfinder,500,48.90(4.32)
Hailfinder,1000,45.55(6.89)
Hailfinder,3000,43.60(4.66)
HEPAR,500,100.95(3.71)
HEPAR,1000,86.85(3.87)
HEPAR,3000,65.60(2.53)
Win95pts,500,86.05(7.79)
Win95pts,1000,74.05(6.59)
Win95pts,3000,73.80(7.41)
AND,500,287.60(11.93)
AND,1000,266.60(15.01)
AND,3000,239.30(17.46)
