网络名,数据集大小,F1均值(标准差)
Asia,500,0.9018(0.0614)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9319(0.0731)
INS,500,0.6543(0.0339)
INS,1000,0.7369(0.0172)
INS,3000,0.8011(0.0374)
Water,500,0.4418(0.0112)
Water,1000,0.4597(0.0159)
Water,3000,0.5237(0.0256)
Alarm,500,0.7898(0.0446)
Alarm,1000,0.8131(0.0534)
Alarm,3000,0.8613(0.0547)
Hailfinder,500,0.5818(0.0688)
Hailfinder,1000,0.6369(0.0530)
Hailfinder,3000,0.6661(0.0577)
HEPAR,500,0.4246(0.0238)
HEPAR,1000,0.5251(0.0257)
HEPAR,3000,0.6438(0.0231)
Win95pts,500,0.5731(0.0462)
Win95pts,1000,0.6261(0.0471)
Win95pts,3000,0.6575(0.0444)
AND,500,0.5091(0.0209)
AND,1000,0.5424(0.0127)
AND,3000,0.5524(0.0193)
