网络名,数据集大小,SHD均值(标准差)
Asia,500,1.80(0.98)
Asia,1000,1.60(0.77)
Asia,3000,1.40(1.11)
INS,500,30.20(2.99)
INS,1000,24.10(1.59)
INS,3000,20.00(3.93)
Water,500,48.35(0.71)
Water,1000,47.40(1.16)
Water,3000,44.15(2.28)
Alarm,500,20.35(3.69)
Alarm,1000,19.50(4.88)
Alarm,3000,16.20(5.48)
Hailfinder,500,48.15(7.48)
Hailfinder,1000,44.30(5.53)
Hailfinder,3000,43.15(7.42)
HEPAR,500,97.90(3.24)
HEPAR,1000,85.50(4.35)
HEPAR,3000,70.45(4.76)
Win95pts,500,84.35(7.67)
Win95pts,1000,78.80(8.88)
Win95pts,3000,79.45(10.51)
AND,500,303.25(13.32)
AND,1000,291.35(10.26)
AND,3000,299.85(13.43)
