网络名,数据集大小,F1均值(标准差)
Asia,500,0.9039(0.0571)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9314(0.0731)
INS,500,0.6924(0.0269)
INS,1000,0.7536(0.0293)
INS,3000,0.8326(0.0375)
Water,500,0.4458(0.0095)
Water,1000,0.4563(0.0132)
Water,3000,0.5372(0.0190)
Alarm,500,0.7911(0.0289)
Alarm,1000,0.8503(0.0496)
Alarm,3000,0.8845(0.0399)
Hailfinder,500,0.5981(0.0427)
Hailfinder,1000,0.6668(0.0301)
Hailfinder,3000,0.7050(0.0358)
HEPAR,500,0.4445(0.0219)
HEPAR,1000,0.5548(0.0156)
HEPAR,3000,0.6773(0.0128)
Win95pts,500,0.6091(0.0447)
Win95pts,1000,0.6768(0.0253)
Win95pts,3000,0.7225(0.0391)
AND,500,0.5487(0.0205)
AND,1000,0.5755(0.0281)
AND,3000,0.6025(0.0233)
