网络名,数据集大小,SHD均值(标准差)
Asia,500,1.70(0.87)
Asia,1000,1.60(0.77)
Asia,3000,1.45(1.11)
INS,500,26.50(2.40)
INS,1000,22.30(2.86)
INS,3000,17.30(3.74)
Water,500,48.05(0.57)
Water,1000,47.70(0.87)
Water,3000,43.00(1.56)
Alarm,500,19.70(2.25)
Alarm,1000,15.90(4.42)
Alarm,3000,13.50(4.18)
Hailfinder,500,46.35(4.55)
Hailfinder,1000,40.40(3.43)
Hailfinder,3000,36.65(4.45)
HEPAR,500,95.40(3.32)
HEPAR,1000,81.20(2.59)
HEPAR,3000,63.50(1.95)
Win95pts,500,77.50(7.67)
Win95pts,1000,66.90(5.27)
Win95pts,3000,61.85(9.24)
AND,500,275.15(13.97)
AND,1000,265.85(21.52)
AND,3000,259.05(16.35)
