网络名,数据集大小,SHD均值(标准差)
Asia,500,1.80(0.98)
Asia,1000,1.60(0.77)
Asia,3000,1.45(1.11)
INS,500,35.90(3.83)
INS,1000,31.70(4.46)
INS,3000,23.15(3.29)
Water,500,50.30(2.39)
Water,1000,49.05(1.90)
Water,3000,45.40(1.84)
Alarm,500,25.45(3.75)
Alarm,1000,22.50(4.18)
Alarm,3000,21.45(5.52)
Hailfinder,500,50.10(6.57)
Hailfinder,1000,49.65(5.78)
Hailfinder,3000,43.50(7.24)
HEPAR,500,103.10(4.06)
HEPAR,1000,91.20(4.00)
HEPAR,3000,71.10(4.09)
Pathfinder,500,187.95(4.84)
Pathfinder,1000,185.10(4.17)
Pathfinder,3000,173.95(7.36)
AND,500,298.60(10.95)
AND,1000,266.55(9.15)
AND,3000,235.35(10.22)
