网络名,数据集大小,F1均值(标准差)
Asia,500,0.9018(0.0614)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9314(0.0731)
INS,500,0.5819(0.0534)
INS,1000,0.6543(0.0528)
INS,3000,0.7766(0.0355)
Water,500,0.4152(0.0290)
Water,1000,0.4424(0.0261)
Water,3000,0.5122(0.0224)
Alarm,500,0.7458(0.0485)
Alarm,1000,0.7946(0.0568)
Alarm,3000,0.8307(0.0502)
Hailfinder,500,0.5731(0.0632)
Hailfinder,1000,0.5882(0.0537)
Hailfinder,3000,0.6609(0.0644)
HEPAR,500,0.4117(0.0300)
HEPAR,1000,0.4988(0.0257)
HEPAR,3000,0.6478(0.0220)
Pathfinder,500,0.2942(0.0270)
Pathfinder,1000,0.3354(0.0260)
Pathfinder,3000,0.4158(0.0310)
AND,500,0.5182(0.0167)
AND,1000,0.5802(0.0137)
AND,3000,0.6430(0.0162)
