1,0.92857,0.86667,1,1,1.5,-2264.03,5.272, 200        6    1    1    0   28         -1.000,
2,0.93333,0.875,1,1,1,-2416.309,4.832, 200        7    0    1    0   28         -1.000,
3,0.92857,0.86667,1,1,1.5,-2343.312,5.366, 200        6    1    1    0   28         -1.000,
4,1,1,1,1,0.5,-2380.967,5.332, 200        7    1    0    0   28         -1.000,
5,0.92857,0.86667,1,1,1.5,-2283.12,5.522, 200        6    1    1    0   28         -1.000,
6,0.92857,0.86667,1,1,1.5,-2293.012,5.323, 200        6    1    1    0   28         -1.000,
7,0.8,0.75,0.96429,0.85714,3,-2230.551,5.067, 200        6    0    2    1   27         -1.000,
8,0.92857,0.86667,1,1,1.5,-2336.694,5.847, 200        6    1    1    0   28         -1.000,
9,0.78571,0.73333,0.96429,0.84615,3.5,-2268.549,5.101, 200        5    1    2    1   27         -1.000,
10,0.92857,0.86667,1,1,1.5,-2278.383,5.378, 200        6    1    1    0   28         -1.000,
Avg,0.90905,0.85583,0.99286,0.97033,1.7,-2309.493,5.304,200,        NaN
Std,0.06185,0.06933,0.01429,0.05939,0.843,55.056,0.26,0,        NaN
