1,0.71951,0.59596,0.9908,0.90769,25.5,-16168.983,53.458, 200       27    5   20    3  323         -1.000,
2,0.65854,0.55102,0.9816,0.81818,31,-16114.248,62.365, 200       24    6   22    6  320         -1.000,
3,0.58025,0.49474,0.96933,0.70149,38.5,-16850.318,60.239, 200       19    9   24   10  316         -1.000,
4,0.71765,0.60396,0.98773,0.88406,25.5,-16305.534,56.462, 200       29    3   20    4  322         -1.000,
5,0.6875,0.56701,0.98773,0.87302,28.5,-16034.372,59.905, 200       24    7   21    4  322         -1.000,
6,0.73171,0.61224,0.9908,0.90909,25,-16135.339,59.382, 200       27    6   19    3  323         -1.000,
7,0.61538,0.52174,0.97546,0.75,36,-16408.103,57.933, 200       18   12   22    8  318         -1.000,
8,0.67901,0.56701,0.98466,0.84615,29.5,-16013.194,55.781, 200       24    7   21    5  321         -1.000,
9,0.75,0.62376,0.99387,0.9403,22.5,-16063.305,58.482, 200       30    3   19    2  324         -1.000,
10,0.64634,0.53535,0.9816,0.81538,31.5,-16411.949,61.173, 200       24    5   23    6  320         -1.000,
Avg,0.67859,0.56728,0.98436,0.84454,29.35,-16250.534,58.518,200,        NaN
Std,0.05129,0.04,0.00719,0.07117,4.812,242.952,2.552,0,        NaN
