1,0.40964,0.26984,0.99351,0.85,52,-15608.071,37.274, 200       14    6   46    3  459         -1.000,
2,0.42857,0.28125,0.99567,0.9,50,-15332.856,35.116, 200       16    4   46    2  460         -1.000,
3,0.43902,0.28571,0.99784,0.94737,49,-15312.424,34.417, 200       15    6   45    1  461         -1.000,
4,0.45783,0.30159,0.99784,0.95,48,-15674.923,34.463, 200       16    6   44    1  461         -1.000,
5,0.425,0.27419,0.99784,0.94444,50,-15448.389,40.562, 200       13    8   45    1  461         -1.000,
6,0.41463,0.26984,0.99567,0.89474,51,-15296.686,36.79, 200       14    6   46    2  460         -1.000,
7,0.43902,0.28571,0.99784,0.94737,49,-15313.279,34.57, 200       15    6   45    1  461         -1.000,
8,0.44444,0.29032,0.99784,0.94737,49,-15453.253,35.844, 200       14    8   44    1  461         -1.000,
9,0.41026,0.2623,0.99784,0.94118,51,-15539.212,35.703, 200       11   10   45    1  461         -1.000,
10,0.41975,0.26984,0.99784,0.94444,50,-15581.228,35.293, 200       14    6   46    1  461         -1.000,
Avg,0.42882,0.27906,0.99697,0.92669,49.9,-15456.032,36.003,200,        NaN
Std,0.01518,0.01135,0.00144,0.03206,1.136,132.383,1.771,0,        NaN
