1,0.93333,0.875,1,1,1,-6832.718,5.572, 200        7    0    1    0   28         -1.000,
2,0.93333,0.875,1,1,1,-6861.412,5.551, 200        7    0    1    0   28         -1.000,
3,0.93333,0.875,1,1,1,-6661.593,5.472, 200        7    0    1    0   28         -1.000,
4,0.8,0.85714,0.92857,0.75,4,-6872.85,6.278, 200        5    2    1    2   26         -1.000,
5,0.92857,0.86667,1,1,1.5,-6766.629,6.409, 200        6    1    1    0   28         -1.000,
6,1,1,1,1,1,-6710.112,5.932, 200        6    2    0    0   28         -1.000,
7,0.92857,0.86667,1,1,1.5,-6777.858,5.745, 200        6    1    1    0   28         -1.000,
8,1,1,1,1,0,-6746.844,6.155, 200        8    0    0    0   28         -1.000,
9,0.92857,0.86667,1,1,1.5,-6756.491,5.838, 200        6    1    1    0   28         -1.000,
10,0.92857,0.86667,1,1,1.5,-6773.924,5.666, 200        6    1    1    0   28         -1.000,
Avg,0.93143,0.89488,0.99286,0.975,1.4,-6776.043,5.862,200,        NaN
Std,0.05169,0.05281,0.02143,0.075,0.97,62.168,0.308,0,        NaN
