网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,500,0.9022(0.0617),1.75(1.01),5.4(0.2)
Asia,1000,0.9110(0.0592),1.60(0.77),5.7(0.2)
Asia,3000,0.9314(0.0517),1.40(0.97),5.9(0.3)
INS,500,0.6047(0.0547),33.70(4.31),42.4(3.1)
INS,1000,0.6991(0.0558),27.80(5.08),45.5(1.6)
INS,3000,0.7770(0.0450),22.75(4.76),60.0(1.7)
Water,500,0.4119(0.0295),50.80(2.35),30.1(1.1)
Water,1000,0.4302(0.0357),49.85(2.92),32.3(1.3)
Water,3000,0.4953(0.0372),46.95(3.14),36.0(1.7)
Alarm,500,0.6829(0.0583),29.50(4.77),77.4(2.0)
Alarm,1000,0.6691(0.0391),31.90(3.36),88.8(2.7)
Alarm,3000,0.6934(0.0754),32.55(6.84),107.3(4.9)
Hailfinder,500,0.5481(0.0302),52.55(3.05),89.4(3.5)
Hailfinder,1000,0.5837(0.0434),50.95(5.42),104.5(2.7)
Hailfinder,3000,0.5480(0.0469),59.45(6.63),154.4(7.1)
HEPAR,500,0.4337(0.0299),97.55(4.87),82.5(2.1)
HEPAR,1000,0.5285(0.0206),86.25(3.88),93.4(3.8)
HEPAR,3000,0.6662(0.0148),67.10(3.09),136.8(7.1)
Win95pts,500,0.5228(0.0454),93.50(9.12),285.4(118.5)
Win95pts,1000,0.5359(0.0291),98.05(5.32),246.8(12.2)
Win95pts,3000,0.5434(0.0552),109.45(12.98),422.6(49.3)
AND,500,0.6370(0.0234),222.60(18.41),949.0(27.0)
AND,1000,0.6513(0.0146),227.35(11.90),1302.4(68.1)
AND,3000,0.6063(0.0346),284.90(26.30),2401.7(105.4)
