1,0.86667,0.82278,0.99543,0.91549,16.5,-10813.225,68.187,18,26,13,7,3,654,-1
2,0.72857,0.76119,0.98326,0.69863,31.5,-10851.429,57.628,20,13,25,8,11,646,-1
3,0.71831,0.73913,0.98326,0.69863,31.5,-10746.864,57.671,25,14,23,9,11,646,-1
4,0.79747,0.77778,0.98935,0.81818,21.5,-10821.359,61.699,20,26,11,9,7,650,-1
5,0.76812,0.76812,0.98782,0.76812,27.5,-10776.852,44.079,19,15,23,8,8,649,-1
6,0.75362,0.76471,0.9863,0.74286,29,-10382.225,45.285,19,14,24,8,9,648,-1
7,0.76056,0.77143,0.9863,0.75,28,-10735.849,48.018,22,16,22,8,9,648,-1
8,0.7971,0.75342,0.99239,0.84615,23.5,-10844.754,42.443,22,18,19,9,5,652,-1
9,0.74286,0.76471,0.98478,0.72222,30,-10649.779,54.498,21,14,24,8,10,647,-1
10,0.80519,0.79487,0.98935,0.81579,22,-10892.638,50.299,20,24,14,8,7,650,-1
Avg,0.77385,0.77181,0.98782,0.77761,26.1,-10751.497,52.981,20.6,        NaN,,,,,
Std,0.04173,0.02191,0.00373,0.06665,4.737,139.611,7.965,1.908,        NaN,,,,,
