1,0.83333,0.83333,0.96429,0.83333,4,-6836.632,1.222,10,3,4,1,1,27,-1
2,0.93333,0.875,1,1,1,-6861.412,0.888,7,7,0,1,0,28,-1
3,0.73333,0.73333,0.92857,0.73333,4.5,-6668.393,1.119,10,5,1,2,2,26,-1
4,0.85714,1,0.92857,0.75,4,-6872.248,1.079,9,4,4,0,2,26,-1
5,0.64286,0.69231,0.89286,0.6,6.5,-6774.192,0.916,12,3,3,2,3,25,-1
6,0.83333,1,0.92857,0.71429,5,-6721.451,1.073,9,2,6,0,2,26,-1
7,0.72727,0.8,0.92857,0.66667,6,-6788.106,1.15,9,1,6,1,2,26,-1
8,0.92308,1,0.96429,0.85714,3,-6749.708,1.001,8,4,4,0,1,27,-1
9,0.83333,0.83333,0.96429,0.83333,4,-6759.442,1.32,8,3,4,1,1,27,-1
10,0.84615,0.84615,0.96429,0.84615,3.5,-6777.923,1.189,7,4,3,1,1,27,-1
Avg,0.81632,0.86135,0.94643,0.78342,4.15,-6780.951,1.096,8.9,        NaN,,,,,
Std,0.08569,0.10411,0.02879,0.10814,1.467,59.719,0.128,1.446,        NaN,,,,,
