1,0.6729,0.61017,0.99219,0.75,36,-27930.02,221.553,48,36,23,12,1525,-1
2,0.62963,0.57627,0.99024,0.69388,40,-28091.52,224.659,49,34,25,15,1522,-1
3,0.64815,0.61404,0.9896,0.68627,39,-28088.277,229.22,51,35,22,16,1523,-1
4,0.59615,0.55357,0.98896,0.64583,42,-28295.406,220.584,48,31,25,17,1523,-1
5,0.51923,0.52941,0.98317,0.50943,50,-28027.176,248.845,53,27,24,26,1519,-1
6,0.55238,0.53704,0.98573,0.56863,49,-28087.81,235.188,51,29,25,22,1520,-1
7,0.62264,0.56897,0.99025,0.6875,42,-28109.617,220.174,48,33,25,15,1523,-1
8,0.55769,0.51786,0.98766,0.60417,46,-28062.207,220.675,48,29,27,19,1521,-1
9,0.58824,0.56604,0.98769,0.61224,47,-28274.313,226.38,49,30,23,19,1524,-1
10,0.56311,0.55769,0.98575,0.56863,48,-28069.499,234.598,51,29,23,22,1522,-1
Avg,0.59501,0.5631,0.98812,0.63266,43.9 ,-28103.585,228.188,49.6,       NaN,,,,
Std,0.04568,0.03001,0.00254,0.06942,4.7 ,102.687,8.695,1.685,       NaN,,,,
