1,0.77348,0.64815,0.99893,0.9589,45,-30243.841,6184.131, NaN,71,8,33,8,2806,-1
2,0.69101,0.56682,0.99716,0.88489,58.5,-29674.322,6649.049, NaN,71,8,33,13,2801,-1
3,0.72678,0.6186,0.9968,0.88079,54.5,-29848.378,6189.157, NaN,76,5,31,8,2806,-1
4,0.75824,0.63303,0.99858,0.94521,47,-30814.397,5861.675, NaN,79,3,30,4,2810,-1
5,0.76216,0.64977,0.99787,0.92157,47.5,-30661.773,6292.252, NaN,69,8,35,12,2802,-1
6,0.76087,0.65421,0.99751,0.90909,49,-29216.745,3629.408, NaN,76,6,30,9,2805,-1
7,0.75,0.62212,0.99858,0.94406,48.5,-31413.739,4094.368, NaN,68,6,38,7,2807,-1
8,0.74586,0.61644,0.99858,0.94406,48.5,-31013.558,6421.137, NaN,75,5,32,6,2808,-1
9,0.75806,0.64977,0.99751,0.90968,48.5,-30475.56,5857.379, NaN,71,5,36,7,2807,-1
10,0.79581,0.69091,0.99822,0.93827,41,-30704.451,5962.985, NaN,78,3,31,6,2808,-1
Avg,0.75223,0.63498,0.99797,0.92365,48.8,-30406.676,5714.154,    NaN,       NaN,,,,,
Std,0.02652,0.03088,0.00068,0.0255,4.551,632.274,960.657,    NaN,       NaN,,,,,
