1,0.75862,0.71739,0.99378,0.80488,21,-5706.705,66.737,8,33,5,13,8,1278,-1
2,0.75294,0.69565,0.99456,0.82051,21,-5763.4,46.318,12,32,6,14,7,1279,-1
3,0.70588,0.65217,0.993,0.76923,25,-5771.303,49.909,17,30,8,16,9,1277,-1
4,0.62069,0.58696,0.98911,0.65854,33,-5622.718,34.196,16,27,12,19,14,1272,-1
5,0.65116,0.6087,0.99067,0.7,30,-5466.211,41.755,18,28,10,18,12,1274,-1
6,0.69767,0.65217,0.99222,0.75,26,-5596.253,39.579,16,30,7,16,10,1276,-1
7,0.72093,0.67391,0.993,0.775,24,-5513.067,53.185,25,31,7,15,9,1277,-1
8,0.75,0.71739,0.993,0.78571,22,-5910.603,60.51,17,33,8,13,9,1277,-1
9,0.75862,0.71739,0.99378,0.80488,21,-5738.92,64.312,13,33,8,13,8,1278,-1
10,0.73563,0.69565,0.993,0.78049,23,-5788.801,64.165,20,32,8,14,9,1277,-1
Avg,0.71522,0.67174,0.99261,0.76492,24.6,-5687.798,52.067 ,16.2,        NaN,,,,,
Std,0.04504,0.04396,0.00153,0.04778,3.878,129.519,11.563 ,4.377,        NaN,,,,,
