Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.53933,0.58537,0.96347,0.5,46,-34247.109,865.35
2,0.37931,0.38824,0.95738,0.37079,57.5,-34958.651,864.855
3,0.52174,0.57143,0.96043,0.48,48,-33225.615,873.535
4,0.44318,0.48148,0.95738,0.41053,54.5,-34588.765,846.492
5,0.55814,0.57143,0.96956,0.54545,42,-33599.544,847.385
6,0.58621,0.62963,0.96804,0.54839,41.5,-34273.938,837.441
7,0.40909,0.46154,0.95282,0.36735,59,-34142.594,887.631
8,0.53409,0.58025,0.96347,0.49474,46.5,-34576.031,867.131
9,0.41837,0.49398,0.94521,0.36283,61.5,-34314.871,864.798
10,0.48864,0.55844,0.95738,0.43434,52.5,-34671.854,863.979
Avg,0.48781,0.53218,0.95951,0.45144,50.9,-34259.897,861.86
Std,0.06735,0.06939,0.00685,0.06832,6.756,488.775,13.8
