Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.92857,0.86667,1,1,1.5,-2264.464,27.184
2,0.8,0.75,0.96429,0.85714,3,-2414.917,27.045
3,0.93333,0.875,1,1,1,-2343.839,27.272
4,1,1,1,1,0.5,-2381.475,27.706
5,0.92857,0.86667,1,1,1.5,-2283.657,27.234
6,0.92857,0.86667,1,1,1.5,-2293.441,26.827
7,0.78571,0.73333,0.96429,0.84615,3.5,-2237.241,26.978
8,0.92857,0.86667,1,1,1.5,-2337.108,27.175
9,0.92857,0.86667,1,1,1.5,-2262.794,26.669
10,0.93333,0.875,1,1,1,-2278.818,27.021
Avg,0.90952,0.85667,0.99286,0.97033,1.65,-2309.775,27.111
Std,0.06201,0.0695,0.01429,0.05939,0.867,54.343,0.266
