网络名,数据集大小,F1均值(标准差)
Asia,500,0.9286(0.8946)
Asia,1000,0.9333(0.9095)
Asia,3000,0.9286(0.9314)
INS,500,0.5454(0.5907)
INS,1000,0.6024(0.6451)
INS,3000,0.6932(0.6882)
Water,500,0.4000(0.3914)
Water,1000,0.3780(0.4173)
Alarm,500,0.4156(0.4580)
Alarm,1000,0.4872(0.4581)
Alarm,3000,0.4886(0.4878)
Hailfinder,500,0.4356(0.4238)
Hailfinder,1000,0.4364(0.4051)
Hailfinder,3000,0.4344(0.3849)
HEPAR,500,0.4398(0.4088)
HEPAR,1000,0.5376(0.4859)
HEPAR,3000,0.4570(0.4539)
Win95pts,500,0.4664(0.0401)
Win95pts,1000,0.4792(0.0609)
Win95pts,3000,0.4733(0.0539)
AND,500,0.5007(0.0225)
AND,1000,0.4911(0.0295)
AND,3000,0.4378(0.0182)
