Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.40936,0.29167,0.99323,0.68627,104,-16573.769,757.5
2,0.38857,0.28099,0.99153,0.62963,109,-16529.394,730.495
3,0.38554,0.27119,0.99323,0.66667,107,-16661.026,732.705
4,0.39375,0.26809,0.99534,0.74118,102.5,-16701.665,698.074
5,0.38462,0.26971,0.99323,0.6701,106.5,-16438.953,956.72
6,0.45349,0.32773,0.99407,0.73585,98,-16676.732,958.203
7,0.41358,0.28511,0.99534,0.75281,100.5,-16493.622,910.192
8,0.42604,0.30252,0.99407,0.72,101,-16656.213,916.283
9,0.39286,0.275,0.99365,0.6875,105,-16274.381,896.768
10,0.43976,0.30802,0.99534,0.76842,97.5,-16447.402,902.86
Avg,0.40876,0.288,0.9939,0.70584,103.1,-16545.316,845.98
Std,0.023,0.01856,0.00115,0.0422,3.673,128.625,97.781
