Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.45361,0.37931,0.98889,0.5641,61,-29818.573,907.142
2,0.40952,0.344,0.98627,0.50588,65.5,-29669.4,875.831
3,0.45631,0.376,0.98889,0.58025,59.5,-30107.042,894.617
4,0.5283,0.44444,0.9902,0.65116,53,-28938.697,778.67
5,0.39394,0.31707,0.98824,0.52,64.5,-29882.552,878.5
6,0.38182,0.33871,0.98235,0.4375,72,-29389.968,910.465
7,0.40952,0.34959,0.98562,0.49425,66.5,-29503.195,832.779
8,0.36893,0.31148,0.98497,0.45238,70,-29692.227,905.133
9,0.4,0.34483,0.98562,0.47619,68,-29567.956,877.96
10,0.43564,0.35484,0.98889,0.5641,61,-29377.783,866.124
Avg,0.42376,0.35603,0.98699,0.52458,64.1,-29594.739,872.722
Std,0.04432,0.03588,0.00229,0.06219,5.328,306.425,38.333
