Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.52564,0.41414,0.97546,0.7193,39.5,-8710.578,284.307
2,0.64634,0.52475,0.98466,0.84127,30.5,-8532.612,266.617
3,0.57692,0.46392,0.97853,0.76271,36.5,-8783.463,282.184
4,0.63291,0.5,0.98773,0.86207,31,-8640.293,222.013
5,0.59211,0.45455,0.98773,0.84906,33.5,-8915.352,250.767
6,0.61728,0.5,0.9816,0.80645,33,-8763.908,290.313
7,0.59259,0.47059,0.9816,0.8,34,-8569.971,240.623
8,0.59494,0.47475,0.9816,0.79661,34.5,-8644.566,251.54
9,0.58228,0.46,0.9816,0.7931,35,-8750.732,254.116
10,0.54545,0.42857,0.97853,0.75,38,-8644.598,245.292
Avg,0.59065,0.46913,0.9819,0.79806,34.55,-8695.607,258.777
Std,0.03485,0.03166,0.00374,0.04293,2.706,107.029,20.632
