网络名,数据集大小,SHD均值(标准差)
Asia,500,1.50(1.85)
Asia,1000,1.00(1.65)
Asia,3000,1.50(1.45)
INS,500,38.00(34.55)
INS,1000,34.00(31.45)
INS,3000,29.50(29.70)
Water,500,51.00(52.45)
Water,1000,53.50(50.85)
Alarm,500,49.00(46.60)
Alarm,1000,45.00(48.90)
Alarm,3000,52.50(50.90)
Hailfinder,500,61.00(64.10)
Hailfinder,1000,68.00(70.75)
Hailfinder,3000,72.50(78.35)
HEPAR,500,97.50(103.10)
HEPAR,1000,83.50(91.85)
HEPAR,3000,105.50(107.65)
Win95pts,500,103.80(7.70)
Win95pts,1000,107.00(11.30)
Win95pts,3000,118.85(11.53)
AND,500,314.20(16.97)
AND,1000,332.10(21.93)
AND,3000,384.15(15.49)
