网络名,数据集大小,F1均值(标准差)
Asia,500,24.9(27.3)
Asia,1000,27.0(27.1)
Asia,3000,47.6(42.8)
INS,500,245.3(258.8)
INS,1000,367.9(345.5)
INS,3000,470.5(464.9)
Water,500,201.0(206.2)
Water,1000,246.0(242.1)
Alarm,500,648.1(659.9)
Alarm,1000,671.8(669.9)
Alarm,3000,864.0(861.9)
Hailfinder,500,866.1(872.7)
Hailfinder,1000,1009.3(1008.0)
Hailfinder,3000,1800.4(1796.1)
HEPAR,500,902.9(846.0)
HEPAR,1000,899.8(1164.3)
HEPAR,3000,3571.6(2546.5)
Win95pts,500,1764.9(40.3)
Win95pts,1000,2119.1(173.5)
Win95pts,3000,3538.0(83.2)
AND,500,16921.7(1565.2)
AND,1000,29540.1(3152.8)
AND,3000,40167.3(59.7)
