Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.45349,0.29771,0.99784,0.95122,47.5,-7955.154,204.949
2,0.40964,0.26562,0.99567,0.89474,51,-8142.778,209.195
3,0.35802,0.22835,0.99351,0.82857,54.5,-8184.251,201.722
4,0.34524,0.22481,0.98918,0.74359,56.5,-8266.028,207.738
5,0.41975,0.26984,0.99784,0.94444,50,-8283.519,205.762
6,0.36905,0.24031,0.99134,0.79487,54.5,-8259.062,209.61
7,0.36585,0.2381,0.99134,0.78947,55,-8164.352,207.839
8,0.41975,0.26984,0.99784,0.94444,50,-8129.712,206.316
9,0.37349,0.24409,0.99134,0.79487,54.5,-8237.354,208.23
10,0.4,0.25397,0.99784,0.94118,51,-8122.144,201.016
Avg,0.39143,0.25326,0.99437,0.86274,52.45,-8174.435,206.238
Std,0.03254,0.02143,0.00324,0.07635,2.761,92.427,2.801
