网络名,数据集大小,F1均值(标准差)
Asia,500,0.9022(0.0617)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9514(0.0319)
INS,500,0.7071(0.0261)
INS,1000,0.7593(0.0318)
INS,3000,0.8733(0.0128)
Water,500,0.4442(0.0113)
Water,1000,0.4589(0.0201)
Water,3000,0.5364(0.0216)
Alarm,500,0.8343(0.0414)
Alarm,1000,0.8743(0.0324)
Alarm,3000,0.9151(0.0332)
Hailfinder,500,0.6040(0.0561)
Hailfinder,1000,0.6923(0.0518)
Hailfinder,3000,0.7330(0.0397)
HEPAR,500,0.4710(0.0149)
HEPAR,1000,0.5603(0.0165)
HEPAR,3000,0.7033(0.0158)
Win95pts,500,0.6200(0.0431)
Win95pts,1000,0.6871(0.0208)
Win95pts,3000,0.7233(0.0297)
AND,500,0.6951(0.0118)
AND,1000,0.7131(0.0136)
AND,3000,0.7544(0.0189)
