1,0.87097,0.78641,0.99693,0.9759,12.5,-44648.409,48.291,200,40,1,11,1,325,-1
2,0.8913,0.80392,1,1,11,-44633.757,50.236,200,40,2,10,0,326,-1
3,0.88172,0.80392,0.99693,0.97619,12,-44463.484,58.09,200,40,2,10,1,325,-1
4,0.86813,0.78218,0.99693,0.97531,13.5,-44288.172,51.759,200,38,3,11,1,325,-1
5,0.85714,0.76471,0.99693,0.975,14,-44715.274,61.806,200,38,2,12,1,325,-1
6,0.87097,0.78641,0.99693,0.9759,12.5,-44789.443,61.616,200,40,1,11,1,325,-1
7,0.86957,0.78431,0.99693,0.97561,13,-44503.265,51.955,200,39,2,11,1,325,-1
8,0.88043,0.78641,1,1,11.5,-44406.953,53.247,200,40,1,11,0,326,-1
9,0.89247,0.80583,1,1,10.5,-44533.448,51.13,200,41,1,10,0,326,-1
10,0.85057,0.74,1,1,15,-44777.856,49.068,200,35,4,13,0,326,-1
Avg,0.87333,0.78441,0.99816,0.98539,12.55,-44576.006,53.72,200,        NaN,,,,,
Std,0.01282,0.01897,0.0015,0.01193,1.312,156.673,4.733,0,        NaN,,,,,
