网络名,数据集大小,SHD均值(标准差)
Asia,500,1.75(1.01)
Asia,1000,1.60(0.77)
Asia,3000,1.10(0.44)
INS,500,25.30(2.27)
INS,1000,22.10(3.07)
INS,3000,12.55(1.31)
Water,500,48.25(0.84)
Water,1000,47.45(1.37)
Water,3000,43.20(1.78)
Alarm,500,16.85(3.56)
Alarm,1000,13.35(3.09)
Alarm,3000,10.10(3.51)
Hailfinder,500,45.90(6.18)
Hailfinder,1000,36.90(5.95)
Hailfinder,3000,33.05(4.71)
HEPAR,500,90.50(2.72)
HEPAR,1000,80.10(2.97)
HEPAR,3000,58.45(2.66)
Win95pts,500,74.35(8.40)
Win95pts,1000,64.25(4.19)
Win95pts,3000,60.60(6.22)
AND,500,178.15(8.26)
AND,1000,181.70(8.11)
AND,3000,167.65(14.41)
