网络名,数据集大小,F1均值(标准差)
Asia,500,5.5(0.2)
Asia,1000,6.4(0.4)
Asia,3000,7.2(0.8)
INS,500,41.8(5.8)
INS,1000,46.1(4.7)
INS,3000,53.7(4.7)
Water,500,32.3(2.2)
Water,1000,34.2(2.6)
Water,3000,39.2(3.0)
Alarm,500,62.8(4.8)
Alarm,1000,66.7(5.0)
Alarm,3000,68.3(2.1)
Hailfinder,500,58.9(8.6)
Hailfinder,1000,61.3(3.9)
Hailfinder,3000,68.7(3.4)
HEPAR,500,56.6(2.0)
HEPAR,1000,61.6(1.6)
HEPAR,3000,72.9(6.8)
Win95pts,500,90.1(4.8)
Win95pts,1000,97.8(2.9)
Win95pts,3000,108.4(7.0)
AND,500,311.6(25.5)
AND,1000,373.9(19.4)
AND,3000,491.9(43.2)
