1,0.68342,0.62963,0.99183,0.74725,67,-29577.809,105.039,200,64,8,40,23,2791,-1
2,0.69856,0.67593,0.99005,0.72277,67,-30102.225,105.786,200,69,8,35,28,2786,-1
3,0.72195,0.69811,0.99112,0.74747,63,-29865.005,115.289,200,68,12,32,25,2789,-1
4,0.68367,0.63208,0.99183,0.74444,68,-29907.44,102.423,200,61,12,39,23,2791,-1
5,0.73232,0.6872,0.99289,0.78378,59.5,-30095.558,124.052,200,66,13,33,20,2794,-1
6,0.77387,0.72642,0.99431,0.82796,51,-29859.393,115.083,200,71,12,29,16,2798,-1
7,0.74,0.68519,0.9936,0.80435,56,-29595.431,100.334,200,70,8,34,18,2796,-1
8,0.705,0.66825,0.99147,0.74603,65.5,-29674.271,103.032,200,64,13,35,24,2790,-1
9,0.765,0.70507,0.99467,0.83607,50.5,-29372.834,107.92,200,73,7,32,15,2799,-1
10,0.72947,0.6895,0.99218,0.77436,58.5,-29590.698,105.511,200,73,5,34,22,2792,-1
Avg,0.72333,0.67974,0.9924,0.77345,60.6,-29764.066,108.447,200,        NaN,,,,,
Std,0.02967,0.02875,0.00139,0.03671,6.224,227.68,7.024,0,        NaN,,,,,
