Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.6868 ,0.6706 ,0.9817 ,0.7037 ,29.50 ,-11006.39 ,631.76 
2,0.8312 ,0.8000 ,0.9924 ,0.8649 ,19.00 ,-10692.43 ,632.89 
3,0.7436 ,0.7073 ,0.9878 ,0.7838 ,25.00 ,-10844.16 ,628.22 
4,0.6543 ,0.6543 ,0.9787 ,0.6543 ,33.50 ,-11215.08 ,632.24 
5,0.6104 ,0.5949 ,0.9787 ,0.6267 ,36.50 ,-11280.60 ,636.14 
6,0.7000 ,0.6667 ,0.9848 ,0.7368 ,28.00 ,-10402.19 ,636.51 
7,0.6883 ,0.6709 ,0.9833 ,0.7067 ,30.50 ,-10978.58 ,634.66 
8,0.8861 ,0.8537 ,0.9954 ,0.9211 ,14.00 ,-10731.12 ,623.67 
9,0.6951 ,0.6868 ,0.9817 ,0.7037 ,29.50 ,-10927.76 ,629.06 
10,0.8452 ,0.8353 ,0.9909 ,0.8554 ,16.50 ,-10789.11 ,633.18 
Avg,0.7341 ,0.7140 ,0.9855 ,0.7557 ,26.20 ,-10886.74 ,631.83 
Std,0.0858 ,0.0813 ,0.0055 ,0.0922 ,7.07 ,244.02 ,3.73 
