Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time,,,,,,
1,0.9286,0.8667,1,1,1.5,-2264.46,39.49,,,,,,
2,0.8,0.75,0.9643,0.8571,3,-2414.92,38.38,,,,,,
3,0.9333,0.875,1,1,1,-2343.84,39.94,,,,,,
4,1,1,1,1,0.5,-2381.48,39.34,,,,,,
5,0.9286,0.8667,1,1,1.5,-2283.66,37.39,,,,,,
6,0.9286,0.8667,1,1,1.5,-2293.44,37.11,,,,,,```
7,0.8,0.75,0.9643,0.8571,3,-2231.21,39.76,,,,,,
8,0.9286,0.8667,1,1,1.5,-2337.11,46.85,,,,,,
9,0.9286,0.8667,1,1,1.5,-2262.79,46.32,,,,,,
10,0.9333,0.875,1,1,1,-2278.82,48.96,,,,,,
Avg,0.911,0.8583,0.9929,0.9714,1.6,-2309.17,41.35,,,,,,
Std,0.0593,0.0667,0.0143,0.0571,0.77,55.17,4.09,,,,,,
