Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.9286,0.8667,1,1,1.5,-1212.61,37.92
2,0.7333,0.7333,0.9286,0.7333,4.5,-1183.32,34.04
3,0.9286,0.8667,1,1,1.5,-1170.5,33.48
4,0.9333,0.875,1,1,1,-1212.7,38.62
5,0.9286,0.8667,1,1,1.5,-1169.71,34.18
6,0.9333,0.875,1,1,1,-1158.44,39.6
7,0.8571,0.75,1,1,2,-1131.31,33.63
8,0.8462,0.7333,1,1,2.5,-1163.44,34.99
9,0.9286,0.8667,1,1,1.5,-1192.27,33.83
10,0.9286,0.8667,1,1,1.5,-1108.2,36.3
Avg,0.8946,0.83,0.9929,0.9733,1.85,-1170.25,35.66
Std,0.0621,0.0599,0.0214,0.08,0.98,31.31,2.18
