网络名,数据集大小,F1均值(标准差)
Asia,500,0.9286(0.8946)
Asia,1000,0.9333(0.9110)
Asia,3000,0.9286(0.9319)
INS,500,0.5385(0.5706)
INS,1000,0.6342(0.6715)
INS,3000,0.7727(0.7611)
Water,500,0.4096(0.3897)
Water,1000,0.4051(0.4017)
Water,3000,0.5114(0.4813)
Alarm,500,0.7875(0.6424)
Alarm,1000,0.8452(0.7341)
Alarm,3000,0.7907(0.7863)
Hailfinder,500,0.5577(0.5459)
Hailfinder,1000,0.5701(0.5933)
Hailfinder,3000,0.6441(0.6463)
HEPAR,500,0.4295(0.4185)
HEPAR,1000,0.5318(0.5025)
HEPAR,3000,0.6702(0.6704)
Win95pts,500,0.4446(0.0376)
Win95pts,1000,0.4614(0.0369)
Win95pts,3000,0.4817(0.0311)
AND,500,0.5433(0.0179)
AND,1000,0.5550(0.0177)
AND,3000,0.5138(0.0173)
