Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.4207 ,0.2911 ,0.9953 ,0.7582 ,99.50 ,-16562.73 ,747.51 
2,0.4253 ,0.3109 ,0.9924 ,0.6727 ,104.00 ,-16530.34 ,764.98 
3,0.4201 ,0.2971 ,0.9941 ,0.7172 ,101.50 ,-16650.34 ,735.52 
4,0.3813 ,0.2574 ,0.9953 ,0.7349 ,103.50 ,-16710.07 ,679.86 
5,0.3837 ,0.2773 ,0.9915 ,0.6226 ,110.00 ,-16445.31 ,769.52 
6,0.4567 ,0.3333 ,0.9937 ,0.7248 ,98.50 ,-16685.09 ,748.14 
7,0.4085 ,0.2803 ,0.9953 ,0.7528 ,100.50 ,-16478.20 ,715.58 
8,0.4491 ,0.3138 ,0.9958 ,0.7895 ,95.50 ,-16647.13 ,714.48 
9,0.4096 ,0.2857 ,0.9945 ,0.7234 ,102.00 ,-16262.46 ,715.40 
10,0.4295 ,0.2966 ,0.9958 ,0.7778 ,98.00 ,-16453.86 ,711.52 
Avg,0.4185 ,0.2944 ,0.9944 ,0.7274 ,101.30 ,-16542.55 ,730.25 
Std,0.0231 ,0.0203 ,0.0014 ,0.0471 ,3.80 ,130.92 ,26.40 
