Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.6636 ,0.6033 ,0.9915 ,0.7374 ,42.50 ,-54742.15 ,924.53 
2,0.5752 ,0.5285 ,0.9876 ,0.6311 ,52.50 ,-53801.78 ,902.74 
3,0.5652 ,0.5118 ,0.9876 ,0.6311 ,52.50 ,-54833.17 ,920.93 
4,0.5893 ,0.5323 ,0.9889 ,0.6600 ,50.00 ,-54572.83 ,907.97 
5,0.5752 ,0.5200 ,0.9882 ,0.6436 ,51.50 ,-54539.43 ,909.24 
6,0.5741 ,0.5167 ,0.9889 ,0.6458 ,52.00 ,-53814.16 ,906.43 
7,0.6071 ,0.5484 ,0.9895 ,0.6800 ,48.00 ,-54929.66 ,920.16 
8,0.6204 ,0.5447 ,0.9915 ,0.7204 ,45.50 ,-54151.02 ,878.33 
9,0.5929 ,0.5360 ,0.9889 ,0.6634 ,49.50 ,-55049.93 ,912.23 
10,0.5701 ,0.5041 ,0.9895 ,0.6559 ,51.50 ,-54230.99 ,913.53 
Avg,0.5933 ,0.5346 ,0.9892 ,0.6669 ,49.55 ,-54466.51 ,909.61 
Std,0.0287 ,0.0265 ,0.0013 ,0.0343 ,3.16 ,424.78 ,12.34 
