Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.7356 ,0.6531 ,0.9816 ,0.8421 ,26.00 ,-45056.71 ,447.12 
2,0.7416 ,0.6600 ,0.9816 ,0.8462 ,25.00 ,-45429.39 ,425.95 
3,0.8000 ,0.7347 ,0.9847 ,0.8781 ,21.00 ,-44913.19 ,439.75 
4,0.6854 ,0.6162 ,0.9724 ,0.7722 ,30.50 ,-45048.29 ,421.65 
5,0.7692 ,0.7000 ,0.9816 ,0.8537 ,23.00 ,-45145.54 ,467.81 
6,0.7701 ,0.6907 ,0.9847 ,0.8701 ,23.50 ,-45677.61 ,469.64 
7,0.8000 ,0.7200 ,0.9877 ,0.9000 ,20.00 ,-44661.49 ,445.58 
8,0.7727 ,0.6800 ,0.9877 ,0.8947 ,22.00 ,-45232.24 ,466.40 
9,0.7640 ,0.6800 ,0.9847 ,0.8718 ,23.00 ,-45049.01 ,419.80 
10,0.7727 ,0.6800 ,0.9877 ,0.8947 ,22.00 ,-45078.15 ,462.29 
Avg,0.7611 ,0.6815 ,0.9834 ,0.8624 ,23.60 ,-45129.16 ,446.60 
Std,0.0320 ,0.0321 ,0.0044 ,0.0358 ,2.84 ,262.30 ,18.53 
