网络名,数据集大小,SHD均值(标准差)
Asia,500,1.50(1.85)
Asia,1000,1.00(1.60)
Asia,3000,1.50(1.40)
INS,500,39.00(36.45)
INS,1000,33.00(29.65)
INS,3000,22.00(23.60)
Water,500,51.00(52.50)
Water,1000,51.00(52.05)
Water,3000,45.50(48.15)
Alarm,500,21.50(32.40)
Alarm,1000,16.50(26.20)
Alarm,3000,22.00(23.25)
Hailfinder,500,51.00(53.05)
Hailfinder,1000,51.50(49.55)
Hailfinder,3000,45.00(45.50)
HEPAR,500,98.00(101.30)
HEPAR,1000,86.00(90.20)
HEPAR,3000,69.00(66.55)
Win95pts,500,115.95(6.85)
Win95pts,1000,120.15(8.49)
Win95pts,3000,129.85(10.74)
AND,500,307.45(13.11)
AND,1000,316.60(15.57)
AND,3000,373.10(12.97)
