网络名,数据集大小,F1均值(标准差)
Asia,500,36.3(35.7)
Asia,1000,49.0(41.4)
Asia,3000,68.1(68.3)
INS,500,240.4(301.5)
INS,1000,313.8(297.0)
INS,3000,462.3(446.6)
Water,500,212.3(217.2)
Water,1000,259.1(253.0)
Water,3000,364.7(363.8)
Alarm,500,576.9(584.7)
Alarm,1000,633.2(631.8)
Alarm,3000,741.5(743.2)
Hailfinder,500,740.9(746.5)
Hailfinder,1000,913.5(909.6)
Hailfinder,3000,1741.5(1737.5)
HEPAR,500,711.5(730.2)
HEPAR,1000,894.5(958.3)
HEPAR,3000,2342.0(2339.6)
Win95pts,500,949.0(24.7)
Win95pts,1000,1074.9(12.0)
Win95pts,3000,1822.1(28.4)
AND,500,8131.7(347.0)
AND,1000,12234.7(668.1)
AND,3000,23507.8(497.4)
