Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.4750 ,0.3167 ,0.9978 ,0.9500 ,48.00 ,-43818.89 ,365.25 
2,0.4471 ,0.3065 ,0.9913 ,0.8261 ,51.00 ,-44068.56 ,366.47 
3,0.4598 ,0.3175 ,0.9913 ,0.8333 ,50.00 ,-44725.19 ,365.18 
4,0.5172 ,0.3600 ,0.9957 ,0.9184 ,45.50 ,-44329.61 ,375.12 
5,0.5455 ,0.3810 ,0.9978 ,0.9600 ,43.00 ,-44219.72 ,368.06 
6,0.5114 ,0.3543 ,0.9957 ,0.9184 ,45.50 ,-44013.37 ,366.68 
7,0.4405 ,0.2960 ,0.9935 ,0.8605 ,50.50 ,-44410.69 ,348.06 
8,0.3708 ,0.2640 ,0.9784 ,0.6226 ,59.50 ,-45787.23 ,358.41 
9,0.5349 ,0.3651 ,1.0000 ,1.0000 ,43.00 ,-44225.89 ,359.96 
10,0.5114 ,0.3543 ,0.9957 ,0.9184 ,45.50 ,-44024.61 ,364.68 
Avg,0.4813 ,0.3315 ,0.9937 ,0.8808 ,48.15 ,-44362.38 ,363.79 
Std,0.0506 ,0.0351 ,0.0058 ,0.1009 ,4.69 ,531.21 ,6.77 
