网络名,数据集大小,F1均值(标准差)
Asia,500,0.8946(0.0621)
Asia,1000,0.9356(0.0504)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9319(0.0731)
INS,500,0.6351(0.0537)
INS,1000,0.7935(0.0339)
INS,1000,0.6976(0.0165)
INS,3000,0.7495(0.0300)
Water,500,0.4267(0.0169)
Water,1000,0.5525(0.0178)
Water,1000,0.4506(0.0131)
Water,3000,0.5233(0.0240)
Alarm,500,0.7513(0.0456)
Alarm,1000,0.8651(0.0516)
Alarm,1000,0.8070(0.0428)
Alarm,3000,0.8351(0.0339)
Hailfinder,500,0.5891(0.0404)
Hailfinder,1000,0.6581(0.0439)
Hailfinder,1000,0.6164(0.0523)
Hailfinder,3000,0.6576(0.0379)
HEPAR,500,0.4422(0.0203)
HEPAR,1000,0.7501(0.0143)
HEPAR,1000,0.5331(0.0274)
HEPAR,3000,0.6647(0.0208)
Win95pts,500,0.5791(0.0319)
Win95pts,1000,0.6320(0.0352)
Win95pts,3000,0.6692(0.0359)
AND,500,0.6021(0.0173)
AND,1000,0.7598(0.0123)
AND,1000,0.6505(0.0139)
AND,3000,0.7127(0.0183)
