网络名,数据集大小,SHD均值(标准差)
Asia,500,1.85(0.98)
Asia,1000,1.65(0.74)
Asia,1000,1.60(0.77)
Asia,3000,1.40(1.11)
INS,500,31.05(4.05)
INS,1000,23.30(3.64)
INS,1000,28.20(1.76)
INS,3000,25.95(2.68)
Water,500,49.50(1.23)
Water,1000,42.70(1.58)
Water,1000,48.20(1.05)
Water,3000,44.35(2.06)
Alarm,500,24.95(3.87)
Alarm,1000,18.95(4.74)
Alarm,1000,21.35(4.08)
Alarm,3000,21.25(4.11)
Hailfinder,500,48.35(4.18)
Hailfinder,1000,43.75(5.35)
Hailfinder,1000,46.50(5.13)
Hailfinder,3000,42.90(4.45)
HEPAR,500,97.00(2.49)
HEPAR,1000,55.35(3.51)
HEPAR,1000,85.10(4.38)
HEPAR,3000,66.95(2.94)
Win95pts,500,85.10(6.09)
Win95pts,1000,78.95(6.27)
Win95pts,3000,75.65(7.84)
AND,500,249.25(10.39)
AND,1000,170.00(7.84)
AND,1000,224.40(7.86)
AND,3000,193.65(10.61)
