网络名,数据集大小,F1均值(标准差)
Asia,500,18.7(0.2)
Asia,1000,51.0(5.3)
Asia,1000,20.9(0.2)
Asia,3000,29.0(0.9)
INS,500,110.7(2.7)
INS,1000,664.7(3.9)
INS,1000,127.1(1.3)
INS,3000,178.8(1.8)
Water,500,115.9(0.8)
Water,1000,849.6(4.1)
Water,1000,135.0(0.9)
Water,3000,192.6(1.1)
Alarm,500,263.4(19.7)
Alarm,1000,1098.6(82.7)
Alarm,1000,261.7(39.6)
Alarm,3000,304.6(3.0)
Hailfinder,500,319.6(6.4)
Hailfinder,1000,2351.8(29.3)
Hailfinder,1000,361.3(2.3)
Hailfinder,3000,901.4(3.8)
HEPAR,500,369.3(8.7)
HEPAR,1000,3510.1(23.8)
HEPAR,1000,541.9(83.4)
HEPAR,3000,1978.2(28.6)
Win95pts,500,635.5(20.6)
Win95pts,1000,725.7(7.0)
Win95pts,3000,1479.1(6.0)
AND,500,9991.7(593.1)
AND,1000,40255.7(48.7)
AND,1000,13395.4(1394.0)
AND,3000,16267.7(637.1)
