1,0.48,0.4717,0.99363,0.4886,345,-102185.81,10385.785, 200      130   40  168  157 24481         -1.000,
2,0.47642,0.48172,0.9931,0.47123,356.5,-102960.472,10417.203, 200      128   47  163  170 24468         -1.000,
3,0.48899,0.48217,0.99359,0.49601,340.5,-102397.739,10468.142, 200      140   31  167  158 24480         -1.000,
4,0.52126,0.51002,0.99411,0.53301,317.5,-101293.658,10393.491, 200      152   27  159  145 24493         -1.000,
5,0.49211,0.48903,0.99355,0.49524,341,-102150.721,10405.931, 200      137   38  163  159 24479         -1.000,
6,0.49842,0.5,0.99351,0.49686,340,-102266.338,10677.395, 200      136   44  158  160 24478         -1.000,
7,0.51815,0.49216,0.99472,0.54704,311,-101887.515,10398.101, 200      138   38  162  130 24508         -1.000,
8,0.48534,0.47152,0.99395,0.5,338,-102056.363,10390.673, 200      127   44  167  149 24489         -1.000,
9,0.52941,0.51628,0.99432,0.54323,311.5,-101311.706,10399.679, 200      151   31  156  140 24498         -1.000,
10,0.5,0.49614,0.99359,0.50392,335.5,-102079.383,10353.03, 200      146   29  163  158 24480         -1.000,
Avg,0.49901,0.49107,0.99381,0.50751,333.65,-102058.971,10428.943,200,        NaN
Std,0.0173,0.01425,0.00045,0.02372,14.419,465.715,87.228,0,        NaN
