Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.5051 ,0.5952 ,0.9513 ,0.4386 ,53.00 ,-33335.45 ,568.55 
2,0.6400 ,0.7442 ,0.9620 ,0.5614 ,39.00 ,-32520.57 ,578.05 
3,0.5275 ,0.6000 ,0.9589 ,0.4706 ,49.00 ,-32762.48 ,587.78 
4,0.6170 ,0.6905 ,0.9650 ,0.5577 ,40.00 ,-33137.41 ,579.37 
5,0.5978 ,0.6790 ,0.9635 ,0.5340 ,42.50 ,-32679.81 ,580.14 
6,0.5600 ,0.6667 ,0.9543 ,0.4828 ,48.00 ,-33670.48 ,572.67 
7,0.4369 ,0.5172 ,0.9437 ,0.3782 ,60.50 ,-33393.42 ,574.72 
8,0.6374 ,0.6905 ,0.9696 ,0.5918 ,37.00 ,-32091.32 ,589.36 
9,0.5426 ,0.6296 ,0.9574 ,0.4766 ,48.50 ,-33104.16 ,573.14 
10,0.6489 ,0.7531 ,0.9650 ,0.5701 ,38.50 ,-32389.79 ,581.01 
Avg,0.5713 ,0.6566 ,0.9591 ,0.5062 ,45.60 ,-32908.49 ,578.48 
Std,0.0658 ,0.0686 ,0.0073 ,0.0645 ,7.15 ,474.31 ,6.25 
