Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time,,
1,0.5250 ,0.5122 ,0.9726 ,0.5385 ,43.00 ,-6260.93 ,386.80 , 200       16   10   20   18  639         -1.000,
2,0.6024 ,0.5814 ,0.9772 ,0.6250 ,36.00 ,-6459.48 ,405.41 , 200       22    6   18   15  642         -1.000,
3,0.5250 ,0.5122 ,0.9726 ,0.5385 ,43.00 ,-6463.94 ,387.58 , 200       16   10   20   18  639         -1.000,
4,0.5556 ,0.5422 ,0.9741 ,0.5696 ,40.50 ,-6272.16 ,395.81 , 200       18    9   19   17  640         -1.000,
5,0.5443 ,0.5059 ,0.9772 ,0.5890 ,39.50 ,-6207.47 ,397.94 , 200       18    7   21   15  642         -1.000,
6,0.4625 ,0.4458 ,0.9696 ,0.4805 ,47.50 ,-6571.32 ,403.40 , 200       14    9   23   20  637         -1.000,
7,0.4868 ,0.4458 ,0.9757 ,0.5362 ,43.50 ,-6472.15 ,395.29 , 200       14    9   23   16  641         -1.000,
8,0.4133 ,0.3735 ,0.9726 ,0.4627 ,48.50 ,-6839.16 ,401.71 , 200       11    9   26   18  639         -1.000,
9,0.4878 ,0.4762 ,0.9696 ,0.5000 ,46.00 ,-6495.27 ,403.49 , 200       16    8   22   20  637         -1.000,
10,0.5063 ,0.4651 ,0.9757 ,0.5556 ,42.00 ,-6438.35 ,400.55 , 200       17    6   23   16  641         -1.000,
Avg,0.5109 ,0.4860 ,0.9737 ,0.5396 ,42.95 ,-6448.02 ,397.80 ,200,        NaN
Std,0.0499 ,0.0552 ,0.0026 ,0.0468 ,3.58 ,171.84 ,6.17 ,0,        NaN
