Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.92857,0.86667,1,1,1.5,-1212.607,26.831
2,0.73333,0.73333,0.92857,0.73333,4.5,-1183.316,26.84
3,0.93333,0.875,1,1,1,-1170.496,26.908
4,0.93333,0.875,1,1,1,-1212.704,26.226
5,0.92857,0.86667,1,1,1.5,-1169.708,26.908
6,0.93333,0.875,1,1,1,-1158.442,26.733
7,0.85714,0.75,1,1,2,-1131.305,25.994
8,0.84615,0.73333,1,1,2.5,-1163.441,26.342
9,0.92857,0.86667,1,1,1.5,-1192.271,26.188
10,0.92857,0.86667,1,1,1.5,-1108.197,26.614
Avg,0.89509,0.83083,0.99286,0.97333,1.8,-1170.249,26.558
Std,0.06235,0.06044,0.02143,0.08,1.005,31.314,0.323
