网络名,数据集大小,F1均值(标准差)
Asia,500,0.9286(0.8951)
Asia,1000,0.9333(0.9110)
Asia,3000,0.9286(0.9319)
INS,500,0.6463(0.5621)
INS,1000,0.6092(0.5884)
INS,3000,0.6105(0.6182)
Water,500,0.4000(0.4029)
Water,1000,0.4096(0.4451)
Water,3000,0.5000(0.4974)
Alarm,500,0.5063(0.5109)
Alarm,1000,0.4607(0.5472)
Alarm,3000,0.6489(0.5713)
Hailfinder,500,0.4643(0.4285)
Hailfinder,1000,0.3545(0.4604)
Hailfinder,3000,0.4773(0.4738)
HEPAR,500,0.4157(0.4307)
HEPAR,1000,0.4706(0.4878)
HEPAR,3000,0.5260(0.5421)
Win95pts,500,0.4707(0.0514)
Win95pts,1000,0.4777(0.0273)
Win95pts,3000,0.4628(0.0379)
AND,500,0.5000(0.0140)
AND,1000,0.4990(0.0173)
AND,3000,0.4588(0.0200)
