Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.53439,0.41909,0.99238,0.73723,90.5,-97552.518,1242.274
2,0.51351,0.40426,0.99153,0.7037,95.5,-97413.597,1273.594
3,0.54737,0.43697,0.99196,0.73239,90,-97007.887,1256.765
4,0.5533,0.45607,0.99026,0.70323,91.5,-97504.174,1270.621
5,0.51337,0.40678,0.99111,0.69565,96,-97511.353,1269.016
6,0.53763,0.42017,0.9928,0.74627,90,-97653.274,1268.431
7,0.57653,0.46502,0.99238,0.75839,84.5,-97530.389,1282.052
8,0.55376,0.43096,0.99365,0.77444,86.5,-97259.631,1265.648
9,0.56477,0.45607,0.99196,0.7415,87.5,-97675.862,1275.851
10,0.52604,0.42259,0.99069,0.69655,94.5,-97091.072,1257.987
Avg,0.54207,0.4318,0.99187,0.72893,90.65,-97419.976,1266.224
Std,0.01992,0.02019,0.00096,0.02633,3.654,216.529,10.774
