Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.46094,0.46457,0.97712,0.45736,71.5,-163811.244,1394.969
2,0.44697,0.472,0.97386,0.42446,76.5,-161063.986,1015.908
3,0.48855,0.50794,0.97647,0.47059,70,-161774.969,1012.865
4,0.5,0.5,0.97908,0.5,66,-162086.673,1018.622
5,0.49231,0.5,0.97778,0.48485,68,-162313.796,1018.752
6,0.46512,0.47619,0.97647,0.45455,72,-160253.252,1020.259
7,0.46032,0.45312,0.97843,0.46774,70,-162064.721,1017.375
8,0.49606,0.504,0.97843,0.48837,67.5,-162609.273,1014.244
9,0.45082,0.43307,0.97974,0.47009,69.5,-164427.199,1005.792
10,0.47727,0.504,0.97516,0.45324,72.5,-164675.289,1012.836
Avg,0.47384,0.48149,0.97725,0.46712,70.35,-162508.04,1053.162
Std,0.01851,0.0244,0.00172,0.02033,2.829,1349.344,114.004
