Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.63265,0.60784,0.95092,0.65957,37,-47156.924,332.387
2,0.63542,0.60396,0.95399,0.67033,36.5,-46683.079,323.137
3,0.625,0.6,0.95092,0.65217,38,-46805.703,326.208
4,0.62105,0.57282,0.95706,0.67816,36.5,-46727.131,325.81
5,0.59794,0.56863,0.94785,0.63043,40,-47081.479,332.855
6,0.67033,0.61616,0.96626,0.73494,32.5,-46415.702,330.728
7,0.64444,0.58,0.96626,0.725,34,-47076.536,326.724
8,0.5914,0.55556,0.95092,0.63218,40.5,-47716.291,330.168
9,0.55294,0.48454,0.96012,0.64384,41.5,-47097.042,318.784
10,0.61053,0.59184,0.94785,0.63043,40,-46617.45,330.16
Avg,0.61817,0.57813,0.95521,0.66571,37.65,-46937.734,327.696
Std,0.03068,0.03613,0.00661,0.03577,2.775,349.462,4.206
