网络名,数据集大小,SHD均值(标准差)
Asia,500,1.50(1.80)
Asia,1000,1.00(1.60)
Asia,3000,1.50(1.40)
INS,500,29.50(36.55)
INS,1000,35.50(36.70)
INS,3000,40.00(37.65)
Water,500,52.00(51.95)
Water,1000,52.00(49.30)
Water,3000,45.50(46.95)
Alarm,500,42.00(42.95)
Alarm,1000,51.50(42.85)
Alarm,3000,38.50(45.60)
Hailfinder,500,61.00(65.15)
Hailfinder,1000,75.50(64.55)
Hailfinder,3000,72.50(70.35)
HEPAR,500,98.50(96.20)
HEPAR,1000,92.00(90.80)
HEPAR,3000,94.50(90.65)
Win95pts,500,105.80(11.99)
Win95pts,1000,111.25(6.57)
Win95pts,3000,129.65(9.82)
AND,500,311.75(9.01)
AND,1000,333.65(14.42)
AND,3000,392.60(13.72)
