网络名,数据集大小,F1均值(标准差)
Asia,500,26.6(26.6)
Asia,1000,29.2(29.1)
Asia,3000,41.7(41.6)
INS,500,190.9(193.4)
INS,1000,238.8(230.5)
INS,3000,330.2(327.7)
Water,500,177.3(180.5)
Water,1000,210.2(210.5)
Water,3000,311.9(310.2)
Alarm,500,400.6(397.8)
Alarm,1000,448.6(452.8)
Alarm,3000,581.0(578.5)
Hailfinder,500,571.7(577.5)
Hailfinder,1000,691.4(682.8)
Hailfinder,3000,1012.8(1053.2)
HEPAR,500,438.6(448.1)
HEPAR,1000,537.9(558.3)
HEPAR,3000,1258.0(1266.2)
Win95pts,500,151.9(3.5)
Win95pts,1000,161.8(2.3)
Win95pts,3000,188.1(1.7)
AND,500,7302.2(133.5)
AND,1000,10428.9(87.2)
AND,3000,17462.6(48.0)
